"filename", "language", "HTML", "JavaScript", "JSON", "CSS", "comment", "blank", "total"
"c:\prog_cunha\att_modelagem\backend\controller\compra.controller.js", "JavaScript", 0, 92, 0, 0, 3, 13, 108
"c:\prog_cunha\att_modelagem\backend\controller\produto.controller.js", "JavaScript", 0, 90, 0, 0, 5, 12, 107
"c:\prog_cunha\att_modelagem\backend\controller\usuario.controller.js", "JavaScript", 0, 90, 0, 0, 5, 12, 107
"c:\prog_cunha\att_modelagem\backend\db\conn.js", "JavaScript", 0, 19, 0, 0, 0, 3, 22
"c:\prog_cunha\att_modelagem\backend\index.js", "JavaScript", 0, 24, 0, 0, 0, 7, 31
"c:\prog_cunha\att_modelagem\backend\model\Compra.js", "JavaScript", 0, 57, 0, 0, 0, 3, 60
"c:\prog_cunha\att_modelagem\backend\model\Produto.js", "JavaScript", 0, 45, 0, 0, 0, 3, 48
"c:\prog_cunha\att_modelagem\backend\model\Usuario.js", "JavaScript", 0, 49, 0, 0, 0, 3, 52
"c:\prog_cunha\att_modelagem\backend\model\rel.js", "JavaScript", 0, 24, 0, 0, 0, 6, 30
"c:\prog_cunha\att_modelagem\backend\package-lock.json", "JSON", 0, 0, 1560, 0, 0, 1, 1561
"c:\prog_cunha\att_modelagem\backend\package.json", "JSON", 0, 0, 24, 0, 0, 1, 25
"c:\prog_cunha\att_modelagem\backend\routes.js", "JavaScript", 0, 23, 0, 0, 5, 6, 34
"c:\prog_cunha\att_modelagem\backend\sync.js", "JavaScript", 0, 14, 0, 0, 0, 3, 17
"c:\prog_cunha\att_modelagem\frontend\css\base.css", "CSS", 0, 0, 0, 69, 0, 17, 86
"c:\prog_cunha\att_modelagem\frontend\css\lote.css", "CSS", 0, 0, 0, 79, 1, 11, 91
"c:\prog_cunha\att_modelagem\frontend\css\main.css", "CSS", 0, 0, 0, 3, 2, 3, 8
"c:\prog_cunha\att_modelagem\frontend\css\usuario.css", "CSS", 0, 0, 0, 157, 13, 27, 197
"c:\prog_cunha\att_modelagem\frontend\index.html", "HTML", 122, 0, 0, 0, 2, 8, 132
"c:\prog_cunha\att_modelagem\frontend\js\cadastros.js", "JavaScript", 0, 56, 0, 0, 4, 14, 74
"c:\prog_cunha\att_modelagem\frontend\js\carregaDados.js", "JavaScript", 0, 34, 0, 0, 0, 4, 38
"c:\prog_cunha\att_modelagem\frontend\js\main.js", "JavaScript", 0, 21, 0, 0, 0, 3, 24
"c:\prog_cunha\att_modelagem\frontend\js\seed.js", "JavaScript", 0, 116, 0, 0, 1, 16, 133
"Total", "-", 122, 754, 1584, 308, 41, 176, 2985